(-0.000754, 0.000080, -0.000087, 1.000000
),(11.737833, 4.447817, 0.911391, 0.411543
),(11.710720, 4.478578, 0.911392, 0.411540
),(11.682281, 4.510835, 0.911390, 0.411544
),(11.651862, 4.545343, 0.911394, 0.411535
),(11.624752, 4.576099, 0.911400, 0.411521
),(11.596977, 4.607606, 0.911401, 0.411518
),(11.538120, 4.674370, 0.911402, 0.411517
),(11.511666, 4.704376, 0.911405, 0.411512
),(11.483888, 4.735882, 0.911406, 0.411508
),(11.456112, 4.767387, 0.911402, 0.411518
),(11.425691, 4.801893, 0.911406, 0.411508
),(11.394611, 4.837148, 0.911420, 0.411478
),(11.367494, 4.867899, 0.911420, 0.411478
),(11.312603, 4.930150, 0.911432, 0.411450
),(11.284825, 4.961650, 0.911436, 0.411441
),(11.257046, 4.993148, 0.911439, 0.411435
),(11.229266, 5.024648, 0.911439, 0.411436
),(11.200822, 5.056898, 0.911436, 0.411442
),(11.143279, 5.122148, 0.911443, 0.411427
),(11.116158, 5.152897, 0.911440, 0.411433
),(11.087717, 5.185147, 0.911442, 0.411429
),(11.059274, 5.217396, 0.911440, 0.411433
),(11.028188, 5.252644, 0.911445, 0.411422
),(11.001067, 5.283392, 0.911447, 0.411419
),(10.942198, 5.350138, 0.911450, 0.411410
),(10.915739, 5.380137, 0.911452, 0.411407
),(10.887956, 5.411634, 0.911453, 0.411404
),(10.860174, 5.443132, 0.911452, 0.411407
),(10.832391, 5.474630, 0.911454, 0.411403
),(10.804790, 5.506001, 0.911452, 0.411407
),(10.777660, 5.536934, 0.911066, 0.412261
),(10.774753, 5.540291, 0.911100, 0.412186
),(10.769622, 5.545643, 0.911151, 0.412072
),(10.751028, 5.566633, 0.912234, 0.409670
),(10.723784, 5.597284, 0.912280, 0.409567
),(10.695196, 5.629430, 0.912308, 0.409504
),(10.663273, 5.665323, 0.912277, 0.409573
),(10.602753, 5.732880, 0.914837, 0.403823
),(10.575010, 5.762569, 0.919480, 0.393136
),(10.546636, 5.791482, 0.924575, 0.380999
),(10.516871, 5.820181, 0.929971, 0.367632
),(10.486309, 5.847966, 0.935278, 0.353915
),(10.455001, 5.874797, 0.940441, 0.339958
),(10.382915, 5.930810, 0.951184, 0.308626
),(10.350766, 5.953430, 0.955495, 0.295006
),(10.315503, 5.976709, 0.959916, 0.280287
),(10.275327, 6.001392, 0.964581, 0.263788
),(10.242075, 6.020420, 0.968161, 0.250329
),(10.205683, 6.039865, 0.971805, 0.235787
),(10.127651, 6.077016, 0.978729, 0.205156
),(10.089645, 6.092991, 0.981694, 0.190463
),(10.050224, 6.108189, 0.984456, 0.175632
),(10.007668, 6.123058, 0.987218, 0.159377
),(9.963373, 6.136655, 0.989532, 0.144311
),(9.924281, 6.147650, 0.991262, 0.131904
),(9.883645, 6.158338, 0.992157, 0.124998
),(9.797348, 6.179884, 0.992726, 0.120398
),(9.758504, 6.189426, 0.992778, 0.119965
),(9.717722, 6.199443, 0.992798, 0.119802
),(9.672071, 6.210628, 0.992810, 0.119701
),(9.632244, 6.220372, 0.992813, 0.119676
),(9.590480, 6.230588, 0.992823, 0.119591
),(9.506936, 6.251012, 0.992821, 0.119610
),(9.466136, 6.260990, 0.992815, 0.119661
),(9.424365, 6.271206, 0.992815, 0.119663
),(9.377739, 6.282610, 0.992817, 0.119643
),(9.338884, 6.292112, 0.992817, 0.119639
),(9.297117, 6.302328, 0.992818, 0.119632
),(9.251460, 6.313492, 0.992818, 0.119634
),(9.166952, 6.334159, 0.992820, 0.119622
),(9.118383, 6.346037, 0.992820, 0.119616
),(9.073008, 6.356993, 0.993201, 0.116415
),(9.034166, 6.365881, 0.994084, 0.108612
),(8.993285, 6.374479, 0.995041, 0.099470
),(8.952316, 6.382317, 0.995939, 0.090028
),(8.910275, 6.389516, 0.996778, 0.080204
),(8.824682, 6.401772, 0.997888, 0.064956
),(8.784058, 6.406966, 0.998051, 0.062403
),(8.742389, 6.412153, 0.998120, 0.061285
),(8.696730, 6.417770, 0.998135, 0.061046
),(8.656031, 6.422747, 0.998148, 0.060837
),(8.614341, 6.427816, 0.998160, 0.060629
),(8.527970, 6.438334, 0.998159, 0.060649
),(8.485284, 6.443534, 0.998164, 0.060571
),(8.446567, 6.448250, 0.998178, 0.060342
),(8.405862, 6.453189, 0.998177, 0.060356
),(8.364166, 6.458244, 0.998183, 0.060251
),(8.277798, 6.468613, 0.998218, 0.059671
),(8.238081, 6.473383, 0.998217, 0.059698
),(8.195392, 6.478502, 0.998233, 0.059427
),(8.148718, 6.484077, 0.998238, 0.059344
),(8.108994, 6.488813, 0.998230, 0.059464
),(8.066301, 6.493904, 0.998230, 0.059478
),(7.980918, 6.504031, 0.998249, 0.059149
),(7.938214, 6.509116, 0.998247, 0.059194
),(7.895513, 6.514193, 0.998247, 0.059179
),(7.848837, 6.519749, 0.998245, 0.059216
),(7.809110, 6.524460, 0.998247, 0.059178
),(7.766415, 6.529513, 0.998251, 0.059120
),(7.719738, 6.535065, 0.998244, 0.059241
),(7.637321, 6.544843, 0.998257, 0.059011
),(7.594616, 6.549918, 0.998249, 0.059154
),(7.546953, 6.555550, 0.998276, 0.058701
),(7.507225, 6.560229, 0.998269, 0.058807
),(7.465521, 6.565143, 0.998279, 0.058645
),(7.421829, 6.570271, 0.998294, 0.058382
),(7.335741, 6.580065, 0.998647, 0.051994
),(7.294088, 6.584002, 0.999081, 0.042871
),(7.251428, 6.587218, 0.999458, 0.032908
),(7.203794, 6.589795, 0.999768, 0.021532
),(7.163973, 6.591180, 0.999906, 0.013746
),(7.122064, 6.592141, 0.999953, 0.009694
),(7.037112, 6.593512, 0.999975, 0.007071
),(6.991120, 6.594160, 0.999976, 0.006883
),(6.949126, 6.594744, 0.999978, 0.006632
),(6.907133, 6.595280, 0.999978, 0.006563
),(6.861143, 6.595856, 0.999979, 0.006493
),(6.816145, 6.596445, 0.999979, 0.006460
),(6.771144, 6.596993, 0.999979, 0.006550
),(6.689171, 6.598077, 0.999979, 0.006555
),(6.646177, 6.598649, 0.999978, 0.006610
),(6.599190, 6.599256, 0.999979, 0.006524
),(6.559201, 6.599756, 0.999981, 0.006186
),(6.517209, 6.600278, 0.999981, 0.006245
),(6.475220, 6.600782, 0.999982, 0.005992
),(6.391240, 6.601741, 0.999983, 0.005746
),(6.348245, 6.602231, 0.999984, 0.005710
),(6.302255, 6.602734, 0.999984, 0.005675
),(6.262263, 6.603191, 0.999984, 0.005618
),(6.220272, 6.603630, 0.999986, 0.005238
),(6.130284, 6.604562, 0.999987, 0.005135
),(6.089294, 6.604969, 0.999986, 0.005205
),(6.046299, 6.605397, 0.999987, 0.005157
),(6.001307, 6.605861, 0.999986, 0.005246
),(5.961313, 6.606261, 0.999986, 0.005208
),(5.920314, 6.606689, 0.999986, 0.005253
),(5.836329, 6.607475, 0.999987, 0.005164
),(5.794338, 6.607949, 0.999988, 0.004938
),(5.764364, 6.608306, 0.999970, 0.007743
),(5.724604, 6.609283, 0.999850, 0.017300
),(5.642379, 6.614342, 0.999033, 0.043958
),(5.599675, 6.618793, 0.998281, 0.058605
),(5.560031, 6.623755, 0.997846, 0.065596
),(5.518359, 6.629391, 0.997628, 0.068835
),(5.476755, 6.635184, 0.997542, 0.070065
),(5.392589, 6.647131, 0.997481, 0.070936
),(5.345072, 6.653926, 0.997467, 0.071126
),(5.304479, 6.659743, 0.997462, 0.071206
),(5.262906, 6.665708, 0.997458, 0.071254
),(5.221331, 6.671676, 0.997455, 0.071300
),(5.178770, 6.677793, 0.997455, 0.071297
),(5.131258, 6.684620, 0.997455, 0.071300
),(5.050091, 6.696284, 0.997455, 0.071299
),(5.007527, 6.702398, 0.997455, 0.071306
),(4.963974, 6.708657, 0.997455, 0.071303
),(4.925373, 6.714207, 0.997456, 0.071291
),(4.882808, 6.720321, 0.997457, 0.071276
),(4.836287, 6.727005, 0.997457, 0.071267
